All,Vše
"Save as Draft","Uložit jako koncept"
Decline,Odmítnout
"Subtotal (Incl. Tax)","Mezisoučet (s DPH)"
"Subtotal (Excl. Tax)","Mezisoučet (bez DPH)"
"Add to Quote","Přidat do fronty"
"Total Cost","Celkové náklady"
"Negotiated Price","Cena dohodou"
"Shipping & Handling","Dopravné a balné"
Qty:,Množství:
deleted,odstraněno
"Estimated Tax","Odhadnout DPH"
"Cannot save comment:\n%1","Komentář nelze uložit:\n%1"
Comments,Komentáře
Cost,Náklady
"Click to change shipping method","Kliknutím změnit způsob přepravy"
"Get shipping methods and rates","Načíst způsoby přepravy a sazby"
Created:,Vytvořeno:
"No shipping information available","K dispozici nejsou žádné informace o dopravě"
"Thank you,","Děkujeme,"
"Cancel coupon","Zrušit slevový kód"
"If you proceed, catalog prices and cart discounts on this quote will be updated as per the latest changes in the catalog and the price rules.","Pokud budete pokračovat pak se ceny upraví podle aktuálně nastavených slevových pravidel."
"Go to Checkout","K pokladně"
"Minimum Amount","Minimální částka"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Tato zpráva bude zobrazena v nákupním košíku, když je mezisoučet (po slevě) nižší než minimální povolená částka."
"Maximum file size","Maximální velikost souboru"
"No New Relic Application ID configured, cannot continue with Cron Event reporting","Není nastaveno ID New Relic aplikace, ve sledování událostí cronu nelze pokračovat"
"New Relic Reporting Section","Sekce sledování New Relic"
"New Relic Reporting","Sledování New Relic"
"Enable New Relic Integration","Zapnout integraci New Relic"
"Use %s to replace the account ID in the URL","Použít %s k nahrazení ID účtu v URL"
"New Relic Account ID","ID účtu New Relic"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""Nemáte New Relic účet? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Získáte jej kliknutím zde"
"New Relic Application ID","ID aplikace New Relic"
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","Obvykle jej naleznete na konci URL adresy stránky APM po cestě ""/applications/"""
"New Relic API Key","API klíč New Relic"
"This is located by navigating to Events -> Deployments from the New Relic APM website","To naleznete v Events -> Deployments na stránce New Relic APM"
"Insights API Key","Insights API klíč"
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Vygenerováno na stránce Insights v Manage data -> API Keys -> Insert Keys"
"New Relic Application Name","Název aplikace New Relic"
"This is located by navigating to Settings from the New Relic APM website","To se nachází pod odkazem Settings na stránce New Relic APM"
"Enable Cron","Zapnout Cron"
"Delete Selected Problems","Odstranit zvolené problémy"
"Unsubscribe Selected","Odhlásit zvolené"
"Save Newsletter","Uložit newsletter"
"Save and Resume",Použít
"View Newsletter","Zobrazit newsletter"
"Edit Newsletter","Upravit zpravodaj"
"Queue Information","Údaje fronty"
"Queue Date Start","Datum spuštění fronty"
"Subscribers From","Odběratelé z"
"Newsletter Styles","Styly newsletteru"
Pause,Pozastavit
"Do you really want to cancel the queue?","Skutečně chcete frontu zrušit?"
Resume,Souhrn
"Return HTML Version","Vrátit HTML verzi"
"Save As","Uložit jako"
"Edit Newsletter Template","Upravit šablonu newsletteru"
"New Newsletter Template","Nová šablona newsletteru"
"Queue Newsletter","Fronta newsletteru"
"We unsubscribed the people you identified.","Označení lidé odběratelé odhlášeni."
"The problems you identified have been deleted.","Označené problémy byly odstraněny."
"Newsletter Problems Report","Přehled problémů newsletteru"
"Newsletter Problem Reports","Přehledy problému newsletteru"
"Edit Queue","Upravit frontu"
"Please correct the newsletter template and try again.","Opravte šablonu newsletteru a zkuste to znovu."
"You saved the newsletter queue.","Fronta newsletteru byla uložena."
Subscribers,Odběratelé
"Please select one or more subscribers.","Zvolte alespoň jednoho odběratele."
"Total of %1 record(s) were deleted.","Bylo odstraněno celkem %1 záznamů."
"The newsletter template has been deleted.","Šablona newsletteru byla odstraněna."
"We can't delete this template right now.","Tuto šablonu momentálně nelze odstranit."
"Create Newsletter Template","Vytvořit šablonu newsletteru"
"The newsletter template has been saved.","Šablona newsletteru byla uložena."
"Something went wrong while saving this template.","Při ukládání šablony nastala chyba."
"Something went wrong while saving your subscription.","Při ukládání vašeho odběru zpravodaje nastala chyba."
"Your subscription has been confirmed.","Odběr zpravodaje byl potvrzen."
"This is an invalid subscription confirmation code.","Neplatný kód potvrzení odběru zpravodaje."
"This is an invalid subscription ID.","Neplatné ID odběru zpravodaje."
"This email address is already assigned to another user.","Tuto e-mailovou adresu již používá jiný uživatel."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Omlouváme se, ale nepřihlášený uživatel se nemůže přihlásit k odběru. Prosím, <a href=""%1""> zaregistrujte se</a>."
"Something went wrong with the subscription.","Při odběru zpravodaje nastala chyba."
"Thank you for your subscription.","Děkujeme za odběr zpravodaje."
"You unsubscribed.","Odběr zpravodaje byl odhlášen."
"Something went wrong while unsubscribing you.","Při odhlášení odběru nastala chyba."
Cancelled,Zrušeno
"There are no subscribers selected.","Nebyli zvoleni žádní odběratelé."
"You selected an invalid queue.","Byla zvolena neplatná fronta."
"We cannot mark as received subscriber.","Odběratele nelze označit jako příjemce."
"Duplicate template code","Duplikovat kód šablony"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","K odhlášení odběru zpravodaje klikněte na odkaz <! – odkaz pro zrušení odběru--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"Choose Store View:","Zvolte zobrazení obchodu:"
"Newsletter Message Preview","Náhled zprávy newsletteru"
"Add to Queue","Přidat do fronty"
"Are you sure that you want to strip all tags?","Skutečně chcete odebrat všechny tagy?"
"Please enter a new template name.","Zadejte název nové šablony"
" Copy",Kopírovat
"Sign Up for Our Newsletter:","Přihlaste se k odběru zpravodaje:"
"Enter your email address","Zadejte svůj e-mail"
Subscribe,"Přihlásit odběr"
"Newsletter subscription confirmation","Potvrzení odběru newsletteru"
"Thank you for subscribing to our newsletter.","Děkujeme za přihlášení odběru newsletteru."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Před odběrem zpravodaje je třeba kliknutím na následující odkaz potvrdit odběr newsletteru:"
"Newsletter subscription success","Úspěšné přihlášení k odběru newsletteru"
"You have been successfully subscribed to our newsletter.","Přihlášení k odběru newsletteru proběhlo úspěšně."
"You have been unsubscribed from the newsletter.","Byl jste odhlášen z odběru newsletteru."
"Newsletter Template","Šablony zpravodaje"
"Newsletter Section","Sekce newsletteru"
"Subscription Options","Nastavení odběru"
"Allow Guest Subscription","Povolit odběr návštěvníkům"
"Need to Confirm","Požadovat potvrzení"
"Confirmation Email Sender","Odesílatel potvrzovacího e-mailu"
"Confirmation Email Template","Šablona potvrzovacího e-mailu"
"Success Email Sender","Odesílatel přihlašujícího e-mailu"
"Success Email Template","Šablona přihlašujícího e-mailu"
"Unsubscription Email Sender","Odesílatel odhlašujícího e-mailu"
"Unsubscription Email Template","Šablona odhlašovacího e-mailu"
"We found no problems.","Nebyly nalezeny žádné problémy."
Subscriber,Odběratel
"Queue Start Date","Start fronty"
"Queue Subject","Předmět fronty"
"Error Code","Kód chyby"
"Error Text","Text chyby"
"Queue Start","Start fronty"
"Queue End","Konec fronty"
Processed,Zpracováno
Recipients,Příjemci
Unsubscribe,"Odhlásit odběr"
"Customer First Name","Jméno zákazníka"
"Customer Last Name","Příjmení zákazníka"
"Not Activated",Neaktivováno
Subscribed,Přihlášeno
Unsubscribed,Odhlášeno
Unconfirmed,Nepotvrzeno
"Newsletter Subscriptions","Příihlášení k odběru newsletteru"
"Make Check payable to:","Šek vystavit na jméno:"
"Send Check to:","Příjemce platby složenkou:"
"Purchase Order Number","Číslo nákupní objednávky"
"Make Check payable to: %1","Šek vystavit na jméno: %1"
"Purchase Order Number: %1","Číslo nákupní objednávky: %1"
"Make Check payable to","Šek vystavit na jméno"
"Send Check to","Příjemce platby složenkou"
"Check / Money Order","Šek / složenka"
"Make Check Payable to","Šek vystavit na jméno"
"Purchase Order","Nákupní objednávka"
"Bank Transfer Payment","Platba bankovním převodem"
Instructions,Pokyny
"Cash On Delivery Payment","Platba dobírkou"
"Shipping Price","Ceny dopravy"
"Store Pickup","Osobní odběr"
"Weight vs. Destination","Hmotnost vs. Místo doručení"
"Price vs. Destination","Cena vs. Místo doručení"
"# of Items vs. Destination","Množství vs. Místo doručení"
"Weight (and above)","Hmotnost (a vyšší)"
"Order Subtotal (and above)","Mezisoučet objednávky (a vyšší)"
"# of Items (and above)","Množství (a vyšší)"
"Per Order","Na objednávku"
"Per Item","Za položku"
"Unable to import data","Nelze importovat data"
"Something went wrong while importing table rates.","Při importu tabulky sazeb nastala chyba."
"We couldn't import this file because of these errors: %1","Tento soubor nelze importovat z důvodu chyby: %1"
"Requested column ""%1"" cannot be resolved","Nelze najít požadovaný sloupec ""%1"""
"Column ""%1"" not found","Sloupec ""%1"" nebyl nalezen"
"Please correct %1 ""%2"" in the Row #%3.","Opravte %1 ""%2"" v řádku č. %3 prosím."
"For matching items only","Pouze na odpovídající položky"
"For shipment with matching items","Na přepravné s odpovídajícími položkami"
"Flat Rate","Paušální sazba"
"Method Name","Název metody"
"Table Rates","Tabulka sazeb"
"Include Virtual Products in Price Calculation","Do kalkulace zahrnout virtuální produkty"
"Free Shipping","Doprava zdarma"
